Time Stamp (EST),Player Name,Set,Tier,Series,Play,Date of Moment,Team,Circulation Count,Owned,Unique Owners,In Packs,Minted,Held by TS,Collector Score,Low Ask,4h,24h,7d,Listings,Top Shot Debut,Rookie Premiere,Rookie Mint,Rookie Year,Edition State,Play ID,Set ID,Top Shot Link
2021-10-18 18:14,Giannis Antetokounmpo,2021 All-Star Game,Rare,2,3 Pointer,2021-03-08 01:00:00+00:00,Team LeBron,460,460,0,0,0,0,120,949.00,0.00,0.00,0.00,59,False,False,False,False,CHALLENGE_REWARD_RELEASED,c12393fc-23ff-49df-b45b-50710e04f4c4,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+c12393fc-23ff-49df-b45b-50710e04f4c4
2021-10-18 18:15,Bradley Beal,2021 All-Star Game,Rare,2,3 Pointer,2021-03-08 01:00:00+00:00,Team Durant,2021,1854,0,167,0,0,80,77.00,0.00,6.94,-3.75,345,False,False,False,False,VISIBLE,1e355c10-d9e0-443e-a161-b94578af5d63,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+1e355c10-d9e0-443e-a161-b94578af5d63
2021-10-18 18:15,Rudy Gobert,2021 All-Star Game,Rare,2,Dunk,2021-03-08 01:00:00+00:00,Team LeBron,2021,1860,0,161,0,0,80,72.00,4.35,4.35,-12.20,348,False,False,False,False,VISIBLE,b3dc9561-acbc-4869-8346-5a7b616edfc2,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+b3dc9561-acbc-4869-8346-5a7b616edfc2
2021-10-18 18:15,Mike Conley,2021 All-Star Game,Rare,2,3 Pointer,2021-03-08 01:00:00+00:00,Team Durant,2021,1874,0,147,0,0,80,65.00,0.00,0.00,-1.52,323,False,False,False,False,VISIBLE,0fc4d206-fb58-4b4f-be45-3d428180e816,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+0fc4d206-fb58-4b4f-be45-3d428180e816
2021-10-18 18:15,Zach LaVine,2021 All-Star Game,Rare,2,Layup,2021-03-08 01:00:00+00:00,Team Durant,2021,1862,0,159,0,0,80,80.00,-3.61,-3.61,-5.88,271,False,False,False,False,VISIBLE,c0f0afda-7681-4c9c-ab9f-a6ae13204889,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+c0f0afda-7681-4c9c-ab9f-a6ae13204889
2021-10-18 18:15,Paul George,2021 All-Star Game,Rare,2,Handles,2021-03-08 01:00:00+00:00,Team LeBron,2021,1872,0,149,0,0,80,71.00,0.00,-4.05,-10.13,334,False,False,False,False,VISIBLE,0d9666e3-3268-4a97-8c9f-4b4c6e8c90a2,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+0d9666e3-3268-4a97-8c9f-4b4c6e8c90a2
2021-10-18 18:15,Luka Dončić,2021 All-Star Game,Rare,2,Dunk,2021-03-08 01:00:00+00:00,Team LeBron,2021,1873,0,147,1,0,80,420.00,7.69,7.69,12.00,297,False,False,False,False,VISIBLE,02d6f2ad-159e-4ee2-91cc-6a0c12a643c6,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+02d6f2ad-159e-4ee2-91cc-6a0c12a643c6
2021-10-18 18:15,Nikola Vučević,2021 All-Star Game,Rare,2,3 Pointer,2021-03-08 01:00:00+00:00,Team Durant,2021,1887,0,134,0,0,80,58.00,0.00,-1.69,-10.77,358,False,False,False,False,VISIBLE,003d6199-ac9c-4d70-98f2-e69895d5298d,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+003d6199-ac9c-4d70-98f2-e69895d5298d
2021-10-18 18:15,Julius Randle,2021 All-Star Game,Rare,2,Dunk,2021-03-08 01:00:00+00:00,Team Durant,2021,1874,0,147,0,0,80,74.00,-3.90,-6.33,-10.84,326,False,False,False,False,VISIBLE,8b3f79c8-89a0-49fd-b29d-4bf65eb6ad20,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+8b3f79c8-89a0-49fd-b29d-4bf65eb6ad20
2021-10-18 18:15,Donovan Mitchell,2021 All-Star Game,Rare,2,Dunk,2021-03-08 01:00:00+00:00,Team Durant,2021,1874,0,147,0,0,80,101.00,2.02,-1.94,-1.94,178,False,False,False,False,VISIBLE,731bc025-2ea8-499d-b8aa-94d25cdbe495,b2605806-0d47-439f-ba72-784897470bb0,https://nbatopshot.com/listings/p2p/b2605806-0d47-439f-ba72-784897470bb0+731bc025-2ea8-499d-b8aa-94d25cdbe495
